sample_index	class_er_plus_1	gata3_probe	xbp1_probe	biplot_second_gene	biplot_second_probe	pc1_full_matrix	pc2_full_matrix	pc1_two_gene_raw_pca
66	0	4359	4404	CCNB2	4459	115.69857096529641	19.489800789669253	-4.196651446117486
67	0	4359	4404	CCNB2	4459	12.264186797483612	-12.69359007615658	-0.2013481092872147
68	0	4359	4404	CCNB2	4459	7.6624912102758955	-15.986304880612836	-2.169162949718391
69	0	4359	4404	CCNB2	4459	-11.565346830347274	-63.89034302561424	0.7977082622580474
70	0	4359	4404	CCNB2	4459	8.201016063601243	48.17707813946397	1.0105942587376266
71	0	4359	4404	CCNB2	4459	27.489526683903915	-6.191889407768572	-2.001126908665592
72	1	4359	4404	CCNB2	4459	-39.37658299184904	12.911618335137435	1.9648581573792248
73	1	4359	4404	CCNB2	4459	-42.67616521774797	18.151143389435486	1.836236870278407
74	1	4359	4404	CCNB2	4459	-50.3779690854354	5.252206953133209	1.2473386564532953
75	0	4359	4404	CCNB2	4459	53.67432408185572	-19.965176735276053	-1.618280251703526
76	1	4359	4404	CCNB2	4459	-37.53062579965249	22.250660566181143	0.8647466168654829
77	0	4359	4404	CCNB2	4459	4.6672180485396035	-11.02544270696887	-0.8851179494139841
78	0	4359	4404	CCNB2	4459	-9.052166210475118	-15.599855682717358	-0.477108035556707
79	0	4359	4404	CCNB2	4459	9.756341334950834	19.097839828390704	-1.5105432484779602
80	0	4359	4404	CCNB2	4459	-26.257602762023375	-35.65471162707239	-1.1780688284928642
81	1	4359	4404	CCNB2	4459	-60.943360910060136	-2.567410229671863	0.9777433952915029
82	1	4359	4404	CCNB2	4459	-32.82990538976807	25.37761615803805	1.9569567558641552
83	1	4359	4404	CCNB2	4459	-7.129690156779394	-1.6677494774107504	1.1457811413487984
84	0	4359	4404	CCNB2	4459	24.551935919088034	13.72486178334019	-1.664685657934236
85	1	4359	4404	CCNB2	4459	-35.56829286950595	12.852267371911312	1.9343526361497672
86	0	4359	4404	CCNB2	4459	-4.576051309022972	-53.10979897522794	-1.1404072222439878
87	0	4359	4404	CCNB2	4459	-52.918630909407796	-59.30137937481881	-1.164627299415813
88	1	4359	4404	CCNB2	4459	3.45319964911827	47.57309652392342	1.7561718280146632
89	0	4359	4404	CCNB2	4459	-24.494635064233794	-54.25205436108854	-2.1751041230540435
90	0	4359	4404	CCNB2	4459	22.460601527868874	-39.08408960646546	-1.8625852092093516
91	1	4359	4404	CCNB2	4459	-42.203545923013706	8.148895390489528	2.872671551020284
92	1	4359	4404	CCNB2	4459	43.71709359105811	56.78880020723723	0.5512358567712377
93	1	4359	4404	CCNB2	4459	-37.81314734687047	7.071461837496803	0.6978209309105683
94	0	4359	4404	CCNB2	4459	-51.141320264502035	-6.711516721093777	1.8050147008201725
95	0	4359	4404	CCNB2	4459	-36.9862991677528	-23.026081139863347	0.8279187151215543
96	1	4359	4404	CCNB2	4459	-36.937896133632655	-9.012676475055528	1.9291332659496305
97	0	4359	4404	CCNB2	4459	67.45377520893982	57.90056821258954	-0.1971246028190572
98	1	4359	4404	CCNB2	4459	11.581037209237174	45.66256429395791	1.8775192861216707
99	1	4359	4404	CCNB2	4459	-27.155900748748007	16.780014674457277	1.763160939134373
100	0	4359	4404	CCNB2	4459	28.692588121541906	37.784954841941776	-0.5529734722889836
101	0	4359	4404	CCNB2	4459	17.704307971275977	11.603827079549959	0.7929763834302328
102	0	4359	4404	CCNB2	4459	-36.02807781038645	-12.837398042811747	0.5351647256915779
103	1	4359	4404	CCNB2	4459	-27.729255887118153	24.49074111735391	1.1276418132309107
104	0	4359	4404	CCNB2	4459	-83.63539395705263	-52.55886127688785	-0.26010945621853643
